"","Year","beat_key","property_crime","property_arr","violent_crime","violent_arr","passion_crime","passion_arr","prop_pc_arr2","prop_pc_crime","viol_pc_arr2","viol_pc_crime","pass_pc_arr2","pass_pc_crime"
"1",2001,111,480,25,12,3,NA,NA,NA,NA,NA,NA,NA,NA
"2",2001,112,358,28,11,2,NA,NA,NA,NA,NA,NA,NA,NA
"3",2001,113,392,21,30,7,NA,NA,NA,NA,NA,NA,NA,NA
"4",2001,122,689,280,19,5,2,1,NA,NA,NA,NA,NA,NA
"5",2001,123,579,189,22,7,NA,NA,NA,NA,NA,NA,NA,NA
"6",2001,124,356,21,13,2,5,2,NA,NA,NA,NA,NA,NA
"7",2001,131,493,117,19,4,7,5,NA,NA,NA,NA,NA,NA
"8",2001,132,582,61,35,16,9,3,NA,NA,NA,NA,NA,NA
"9",2001,133,155,13,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"10",2001,211,152,15,59,12,7,3,NA,NA,NA,NA,NA,NA
"11",2001,212,91,7,39,6,NA,NA,NA,NA,NA,NA,NA,NA
"12",2001,213,121,10,24,3,NA,NA,NA,NA,NA,NA,NA,NA
"13",2001,214,92,10,28,14,4,2,NA,NA,NA,NA,NA,NA
"14",2001,221,120,13,33,10,7,3,NA,NA,NA,NA,NA,NA
"15",2001,222,88,4,20,3,4,2,NA,NA,NA,NA,NA,NA
"16",2001,223,156,25,20,7,4,2,NA,NA,NA,NA,NA,NA
"17",2001,224,113,19,22,4,5,2,NA,NA,NA,NA,NA,NA
"18",2001,231,82,11,24,5,3,2,NA,NA,NA,NA,NA,NA
"19",2001,232,177,49,38,7,3,1,NA,NA,NA,NA,NA,NA
"20",2001,233,154,15,32,11,3,1,NA,NA,NA,NA,NA,NA
"21",2001,234,184,14,28,9,2,2,NA,NA,NA,NA,NA,NA
"22",2001,311,119,11,21,2,3,1,NA,NA,NA,NA,NA,NA
"23",2001,312,243,51,53,15,10,4,NA,NA,NA,NA,NA,NA
"24",2001,313,180,14,47,5,6,2,NA,NA,NA,NA,NA,NA
"25",2001,314,236,14,41,9,3,1,NA,NA,NA,NA,NA,NA
"26",2001,321,257,17,65,17,11,5,NA,NA,NA,NA,NA,NA
"27",2001,322,175,16,48,12,4,2,NA,NA,NA,NA,NA,NA
"28",2001,323,224,14,26,7,9,3,NA,NA,NA,NA,NA,NA
"29",2001,324,215,25,52,10,10,3,NA,NA,NA,NA,NA,NA
"30",2001,331,303,18,44,8,10,4,NA,NA,NA,NA,NA,NA
"31",2001,332,227,10,44,11,7,2,NA,NA,NA,NA,NA,NA
"32",2001,333,377,170,28,7,9,5,NA,NA,NA,NA,NA,NA
"33",2001,334,235,28,47,12,6,2,NA,NA,NA,NA,NA,NA
"34",2001,411,307,83,43,8,3,1,NA,NA,NA,NA,NA,NA
"35",2001,412,280,44,50,11,9,4,NA,NA,NA,NA,NA,NA
"36",2001,413,230,15,53,13,8,4,NA,NA,NA,NA,NA,NA
"37",2001,414,366,32,58,13,12,4,NA,NA,NA,NA,NA,NA
"38",2001,421,305,33,92,17,16,7,NA,NA,NA,NA,NA,NA
"39",2001,422,164,12,43,9,10,6,NA,NA,NA,NA,NA,NA
"40",2001,423,313,44,95,20,14,8,NA,NA,NA,NA,NA,NA
"41",2001,424,166,24,62,17,4,1,NA,NA,NA,NA,NA,NA
"42",2001,431,206,30,43,11,3,1,NA,NA,NA,NA,NA,NA
"43",2001,432,179,26,45,16,6,5,NA,NA,NA,NA,NA,NA
"44",2001,433,139,13,15,5,1,1,NA,NA,NA,NA,NA,NA
"45",2001,434,86,8,18,3,NA,NA,NA,NA,NA,NA,NA,NA
"46",2001,511,352,27,65,12,17,7,NA,NA,NA,NA,NA,NA
"47",2001,512,219,35,62,19,10,2,NA,NA,NA,NA,NA,NA
"48",2001,513,211,18,46,20,10,3,NA,NA,NA,NA,NA,NA
"49",2001,522,174,20,79,20,11,2,NA,NA,NA,NA,NA,NA
"50",2001,523,193,17,45,11,15,5,NA,NA,NA,NA,NA,NA
"51",2001,524,191,16,43,10,4,2,NA,NA,NA,NA,NA,NA
"52",2001,531,178,18,57,20,10,2,NA,NA,NA,NA,NA,NA
"53",2001,532,142,30,29,8,7,2,NA,NA,NA,NA,NA,NA
"54",2001,533,136,9,70,18,8,4,NA,NA,NA,NA,NA,NA
"55",2001,611,220,19,41,5,7,2,NA,NA,NA,NA,NA,NA
"56",2001,612,244,30,59,16,7,4,NA,NA,NA,NA,NA,NA
"57",2001,613,212,27,28,5,6,2,NA,NA,NA,NA,NA,NA
"58",2001,614,176,11,40,7,NA,NA,NA,NA,NA,NA,NA,NA
"59",2001,621,246,34,53,7,16,7,NA,NA,NA,NA,NA,NA
"60",2001,622,388,206,19,3,5,3,NA,NA,NA,NA,NA,NA
"61",2001,623,411,103,49,15,7,4,NA,NA,NA,NA,NA,NA
"62",2001,624,274,12,42,17,12,4,NA,NA,NA,NA,NA,NA
"63",2001,631,273,18,43,8,8,1,NA,NA,NA,NA,NA,NA
"64",2001,632,305,43,45,5,10,5,NA,NA,NA,NA,NA,NA
"65",2001,633,155,10,22,7,6,2,NA,NA,NA,NA,NA,NA
"66",2001,634,377,142,38,7,3,1,NA,NA,NA,NA,NA,NA
"67",2001,711,173,23,46,11,5,1,NA,NA,NA,NA,NA,NA
"68",2001,712,186,39,61,17,9,3,NA,NA,NA,NA,NA,NA
"69",2001,713,214,22,65,8,9,1,NA,NA,NA,NA,NA,NA
"70",2001,714,136,9,30,4,2,1,NA,NA,NA,NA,NA,NA
"71",2001,715,122,9,36,14,1,1,NA,NA,NA,NA,NA,NA
"72",2001,722,170,7,37,13,NA,NA,NA,NA,NA,NA,NA,NA
"73",2001,723,262,50,58,20,6,2,NA,NA,NA,NA,NA,NA
"74",2001,724,129,24,38,8,3,1,NA,NA,NA,NA,NA,NA
"75",2001,725,220,27,50,14,10,5,NA,NA,NA,NA,NA,NA
"76",2001,726,136,17,38,8,6,2,NA,NA,NA,NA,NA,NA
"77",2001,731,167,8,32,6,2,1,NA,NA,NA,NA,NA,NA
"78",2001,732,115,16,33,7,7,2,NA,NA,NA,NA,NA,NA
"79",2001,733,181,14,58,13,10,4,NA,NA,NA,NA,NA,NA
"80",2001,734,144,13,34,4,5,1,NA,NA,NA,NA,NA,NA
"81",2001,735,152,17,30,7,5,1,NA,NA,NA,NA,NA,NA
"82",2001,811,223,28,22,3,10,2,NA,NA,NA,NA,NA,NA
"83",2001,812,169,10,15,5,9,2,NA,NA,NA,NA,NA,NA
"84",2001,813,416,44,25,6,6,2,NA,NA,NA,NA,NA,NA
"85",2001,814,172,9,46,9,8,2,NA,NA,NA,NA,NA,NA
"86",2001,815,340,41,38,4,12,2,NA,NA,NA,NA,NA,NA
"87",2001,821,376,162,23,3,2,1,NA,NA,NA,NA,NA,NA
"88",2001,822,241,22,30,9,12,3,NA,NA,NA,NA,NA,NA
"89",2001,823,367,48,72,16,10,5,NA,NA,NA,NA,NA,NA
"90",2001,824,229,21,38,13,NA,NA,NA,NA,NA,NA,NA,NA
"91",2001,825,357,94,37,8,NA,NA,NA,NA,NA,NA,NA,NA
"92",2001,831,255,9,30,3,8,3,NA,NA,NA,NA,NA,NA
"93",2001,832,210,20,45,19,5,1,NA,NA,NA,NA,NA,NA
"94",2001,833,716,307,28,9,5,1,NA,NA,NA,NA,NA,NA
"95",2001,834,321,60,41,9,6,2,NA,NA,NA,NA,NA,NA
"96",2001,835,312,41,34,10,7,3,NA,NA,NA,NA,NA,NA
"97",2001,911,268,37,21,2,5,1,NA,NA,NA,NA,NA,NA
"98",2001,912,252,19,40,8,11,3,NA,NA,NA,NA,NA,NA
"99",2001,913,217,26,39,11,4,1,NA,NA,NA,NA,NA,NA
"100",2001,914,299,84,33,11,8,5,NA,NA,NA,NA,NA,NA
"101",2001,915,135,15,28,3,7,1,NA,NA,NA,NA,NA,NA
"102",2001,921,172,55,15,3,5,1,NA,NA,NA,NA,NA,NA
"103",2001,922,272,77,26,9,5,1,NA,NA,NA,NA,NA,NA
"104",2001,923,178,11,24,7,4,1,NA,NA,NA,NA,NA,NA
"105",2001,924,189,25,33,11,5,3,NA,NA,NA,NA,NA,NA
"106",2001,925,131,7,14,8,2,2,NA,NA,NA,NA,NA,NA
"107",2001,931,189,30,22,7,3,1,NA,NA,NA,NA,NA,NA
"108",2001,932,95,11,28,5,5,2,NA,NA,NA,NA,NA,NA
"109",2001,933,77,7,32,14,5,3,NA,NA,NA,NA,NA,NA
"110",2001,934,124,17,42,15,8,1,NA,NA,NA,NA,NA,NA
"111",2001,935,176,27,30,10,6,3,NA,NA,NA,NA,NA,NA
"112",2001,1011,117,5,35,4,7,4,NA,NA,NA,NA,NA,NA
"113",2001,1012,120,7,31,7,7,3,NA,NA,NA,NA,NA,NA
"114",2001,1013,211,31,27,4,5,2,NA,NA,NA,NA,NA,NA
"115",2001,1014,120,6,39,6,6,3,NA,NA,NA,NA,NA,NA
"116",2001,1021,163,42,42,10,4,1,NA,NA,NA,NA,NA,NA
"117",2001,1022,179,15,46,13,18,2,NA,NA,NA,NA,NA,NA
"118",2001,1023,162,38,30,7,9,4,NA,NA,NA,NA,NA,NA
"119",2001,1024,130,8,38,13,5,1,NA,NA,NA,NA,NA,NA
"120",2001,1031,230,34,26,6,9,1,NA,NA,NA,NA,NA,NA
"121",2001,1032,123,15,20,3,NA,NA,NA,NA,NA,NA,NA,NA
"122",2001,1033,192,33,31,9,NA,NA,NA,NA,NA,NA,NA,NA
"123",2001,1034,314,73,44,13,6,6,NA,NA,NA,NA,NA,NA
"124",2001,1111,171,13,47,12,2,2,NA,NA,NA,NA,NA,NA
"125",2001,1112,137,14,60,12,4,2,NA,NA,NA,NA,NA,NA
"126",2001,1113,115,13,35,5,7,2,NA,NA,NA,NA,NA,NA
"127",2001,1114,62,4,19,3,1,1,NA,NA,NA,NA,NA,NA
"128",2001,1115,92,13,27,6,4,3,NA,NA,NA,NA,NA,NA
"129",2001,1121,202,33,47,11,9,1,NA,NA,NA,NA,NA,NA
"130",2001,1122,208,39,30,10,7,6,NA,NA,NA,NA,NA,NA
"131",2001,1123,154,14,32,6,NA,NA,NA,NA,NA,NA,NA,NA
"132",2001,1124,124,7,22,5,3,1,NA,NA,NA,NA,NA,NA
"133",2001,1125,74,8,24,3,2,2,NA,NA,NA,NA,NA,NA
"134",2001,1131,81,6,17,3,7,1,NA,NA,NA,NA,NA,NA
"135",2001,1132,128,10,28,5,6,2,NA,NA,NA,NA,NA,NA
"136",2001,1133,159,5,41,8,5,1,NA,NA,NA,NA,NA,NA
"137",2001,1134,231,100,29,6,NA,NA,NA,NA,NA,NA,NA,NA
"138",2001,1135,138,8,36,6,11,2,NA,NA,NA,NA,NA,NA
"139",2001,1211,279,30,30,11,NA,NA,NA,NA,NA,NA,NA,NA
"140",2001,1212,356,21,12,4,2,1,NA,NA,NA,NA,NA,NA
"141",2001,1213,288,48,20,3,4,1,NA,NA,NA,NA,NA,NA
"142",2001,1222,170,25,35,18,11,6,NA,NA,NA,NA,NA,NA
"143",2001,1223,128,16,54,13,4,1,NA,NA,NA,NA,NA,NA
"144",2001,1224,284,26,34,8,9,6,NA,NA,NA,NA,NA,NA
"145",2001,1231,112,13,46,18,6,3,NA,NA,NA,NA,NA,NA
"146",2001,1232,87,13,13,1,NA,NA,NA,NA,NA,NA,NA,NA
"147",2001,1233,162,23,22,6,6,3,NA,NA,NA,NA,NA,NA
"148",2001,1411,240,4,21,5,5,2,NA,NA,NA,NA,NA,NA
"149",2001,1412,176,13,32,2,1,1,NA,NA,NA,NA,NA,NA
"150",2001,1413,168,12,30,6,9,3,NA,NA,NA,NA,NA,NA
"151",2001,1414,250,11,32,3,9,2,NA,NA,NA,NA,NA,NA
"152",2001,1421,221,20,60,16,NA,NA,NA,NA,NA,NA,NA,NA
"153",2001,1422,226,18,42,5,5,3,NA,NA,NA,NA,NA,NA
"154",2001,1423,204,25,57,13,13,6,NA,NA,NA,NA,NA,NA
"155",2001,1424,323,13,26,5,6,2,NA,NA,NA,NA,NA,NA
"156",2001,1431,308,28,33,7,5,1,NA,NA,NA,NA,NA,NA
"157",2001,1432,411,69,24,2,6,2,NA,NA,NA,NA,NA,NA
"158",2001,1433,522,112,18,1,7,1,NA,NA,NA,NA,NA,NA
"159",2001,1434,402,25,32,6,8,2,NA,NA,NA,NA,NA,NA
"160",2001,1511,156,9,29,7,5,2,NA,NA,NA,NA,NA,NA
"161",2001,1512,154,11,39,9,10,4,NA,NA,NA,NA,NA,NA
"162",2001,1513,123,8,17,5,5,1,NA,NA,NA,NA,NA,NA
"163",2001,1522,207,39,48,11,7,2,NA,NA,NA,NA,NA,NA
"164",2001,1523,124,13,52,14,7,3,NA,NA,NA,NA,NA,NA
"165",2001,1524,185,36,30,5,5,2,NA,NA,NA,NA,NA,NA
"166",2001,1531,136,17,40,8,10,3,NA,NA,NA,NA,NA,NA
"167",2001,1532,170,16,40,4,9,2,NA,NA,NA,NA,NA,NA
"168",2001,1533,218,29,44,10,12,3,NA,NA,NA,NA,NA,NA
"169",2001,1611,139,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170",2001,1612,104,6,13,6,NA,NA,NA,NA,NA,NA,NA,NA
"171",2001,1613,116,7,14,3,NA,NA,NA,NA,NA,NA,NA,NA
"172",2001,1614,213,8,21,1,NA,NA,NA,NA,NA,NA,NA,NA
"173",2001,1621,64,4,8,2,NA,NA,NA,NA,NA,NA,NA,NA
"174",2001,1622,211,12,21,5,NA,NA,NA,NA,NA,NA,NA,NA
"175",2001,1623,195,17,26,12,7,4,NA,NA,NA,NA,NA,NA
"176",2001,1624,206,11,32,9,5,3,NA,NA,NA,NA,NA,NA
"177",2001,1631,131,11,24,4,NA,NA,NA,NA,NA,NA,NA,NA
"178",2001,1632,209,24,20,8,7,2,NA,NA,NA,NA,NA,NA
"179",2001,1633,325,57,23,5,6,2,NA,NA,NA,NA,NA,NA
"180",2001,1634,215,23,23,5,4,2,NA,NA,NA,NA,NA,NA
